from,to,relation,show,instagram
stdü,aisi,1,1,0
gifa,aisi,1,1,0
delo,anse,1,1,0
jehi,anre,1,1,0
anse,lino,1,1,1
dawe,anse,1,1,0
anre,lino,1,1,1
lino,anre,1,1,1
mase,anse,1,1,0
hasu,anse,1,1,1
caka,anse,1,1,1
anla,anse,1,1,1
chok,dawe,1,1,0
pise,dawe,1,1,0
gifa,mase,1,1,0
caka,hasu,1,1,1
stdü,anre,1,1,1
jehi,mase,1,1,0
anre,stdü,1,1,1
delo,hasu,1,1,0
hasu,mase,1,1,0
mase,hasu,1,1,0
anla,mase,1,1,0
shfi,hasu,1,1,0
maan,hasu,1,1,1
gifa,chok,1,1,0
pise,anla,1,1,1
anre,mase,1,1,0
mase,anre,1,1,1
anla,chok,1,1,0
chok,anla,1,1,0
caka,chok,1,1,0
stdü,anla,1,1,1
delo,chok,1,1,0
tata,mase,1,1,0
jost,mase,1,1,0
caka,stdü,1,1,1
delo,stdü,1,1,0
gifa,caka,1,1,1
jehi,caka,1,1,0
jost,stdü,1,1,2
maan,caka,1,1,0
pise,delo,1,1,0
stdü,delo,1,1,1
tata,caka,1,1,1
anre,caka,1,1,0
bekl,anre,1,1,1
caka,anre,1,1,1
delo,anre,1,1,1
frfu,caka,1,1,0
jost,anre,1,1,0
lale,anre,1,1,0
maan,anre,1,1,0
pise,caka,1,1,1
stdü,caka,1,1,2
bekl,stdü,1,1,1
frfu,bekl,1,1,1
gifa,stdü,1,1,0
jehi,stdü,1,1,0
lale,stdü,1,1,0
maan,bekl,1,1,0
pise,bekl,1,1,0
stdü,bekl,1,1,1
tata,stdü,1,1,0
aisi,gifa,1,1,0
anse,gifa,1,1,0
anre,jehi,1,1,0
bekl,maan,1,1,0
caka,jehi,1,1,1
dawe,pise,1,1,0
delo,pise,1,1,0
frfu,jost,1,1,1
gifa,bekl,1,1,0
jehi,pise,1,1,0
jost,jehi,1,1,1
lale,bekl,1,1,0
lino,jehi,1,1,0
mase,jehi,1,1,0
pise,jehi,1,1,0
shfi,jehi,1,1,0
stdü,jehi,1,1,0
tata,bekl,1,1,1
BR,anla,2,1,0
RP,anre,2,1,0
KIM,bekl,2,1,0
RTM,chok,2,1,0
SG,dawe,2,1,0
R,delo,2,1,0
K3,frfu,2,1,0
AM,hasu,2,1,0
PPA,jost,2,1,0
H,lino,2,1,0
RW,maan,2,1,0
S,mase,2,1,0
H,tata,2,1,0
S&S,pise,2,1,0
caka,lale,0,1,0
caka,tata,0,1,0
lale,caka,0,1,0
dawe,hasu,0,1,0
hasu,dawe,0,1,0
anla,caka,0,0,2
chok,coci,0,0,2
chok,caka,0,0,2
chok,frfu,0,0,2
caka,fipa,0,0,2
brpa,dawe,0,0,2
delo,aisi,0,0,2
delo,tata,0,0,2
tata,delo,0,0,2
dawe,delo,0,0,2
delo,dawe,0,0,2
garo,delo,0,0,2
delo,garo,0,0,2
tata,garo,0,0,2
garo,tata,0,0,2
tata,dawe,0,0,2
dawe,tata,0,0,2
garo,dawe,0,0,2
dawe,garo,0,0,2
hasu,sisa,0,0,2
jost,tako,0,0,2
tako,jost,0,0,2
jost,dibr,0,0,2
dibr,jost,0,0,2
jost,rywö,0,0,2
nagr,lale,0,0,2
lale,nagr,0,0,2
stdü,jost,0,0,2
stdü,paro,0,0,2
stdü,giof,0,0,2
stdü,frfu,0,0,2
stdü,tata,0,0,2
stdü,lale,0,0,2
stdü,umte,0,0,2
umte,stst,0,0,2
umte,mace,0,0,2
mace,umte,0,0,2
umte,dicv,0,0,2
dicv,umte,0,0,2
jost,umte,0,0,2
umte,jost,0,0,2
stsc,sigo,0,0,2
sigo,stsc,0,0,2
hara,mase,0,0,2
joho,tiho,0,0,2
tiho,joho,0,0,2
tope,palj,0,0,2
palj,tope,0,0,2
liba,rywö,0,0,2
rywö,liba,0,0,2
jioc,liba,0,0,2
liba,jioc,0,0,2
jede,makl,0,0,2
makl,jede,0,0,2
PL,sigo,2,2,0
PL,stsc,2,2,0
PPM,hara,2,2,0
TH,joho,2,2,0
TH,tiho,2,2,0
KAM,tope,2,2,0
KAM,palj,2,2,0
R,liba,2,2,0
R,rywö,2,2,0
BA,edpi,2,2,0
R48,mikl,2,2,0
S&S,jede,2,2,0
NWG,makl,2,2,0
FM,paza,2,2,0
FM,loma,2,2,0
aisi,lino,0,0,1
anla,anre,0,0,1
anla,bekl,0,0,1
anla,delo,0,0,1
anla,gifa,0,0,1
anla,jost,0,0,1
anla,lino,0,0,1
anla,pise,0,0,1
anla,shfi,0,0,1
anla,stdü,0,0,1
anla,tata,0,0,1
anla,coci,0,0,1
anla,sabe,0,0,1
anla,arie,0,0,1
anla,jeig,0,0,1
anla,tako,0,0,1
anse,aisi,0,0,1
anse,anla,0,0,1
anse,anre,0,0,1
anse,caka,0,0,1
anse,chok,0,0,1
anse,frfu,0,0,1
anse,hasu,0,0,1
anse,jost,0,0,1
anse,lale,0,0,1
anse,maan,0,0,1
anse,pise,0,0,1
anse,shfi,0,0,1
anse,stdü,0,0,1
anse,nagr,0,0,1
anre,anla,0,0,1
anre,anse,0,0,1
anre,caka,0,0,1
anre,chok,0,0,1
anre,delo,0,0,1
anre,frfu,0,0,1
anre,gifa,0,0,1
anre,hasu,0,0,1
anre,jost,0,0,1
anre,lale,0,0,1
anre,maan,0,0,1
anre,pise,0,0,1
anre,shfi,0,0,1
