name,name_real,generation,birthyear,gender,origin,first_show,first_show_year,role,business,insta,business_real
aisi,Ailton de Silva,gx,1973,2,Brasilien,IbeS,2014,1,1,ailtonag,Mode
anla,Anita Latifi,gz,1996,1,Deutschland,DSDS,2014,1,2,anitalatifi,
anse,Annina Semmelhaack,gx,1978,1,Deutschland,Big_Brother,2009,1,3,annina.semmelhaack,Immobilien_Markler
anre,Anouschka Renzi,bb,1964,1,Deutschland,IbeS,2022,1,6,anouschkarenzi.de,Schauspiel
bekl,Bela Klentze,gy,1988,2,Deutschland,Forsthaus_Rampensau,2024,1,1,bela_klentze,Band_Merch
caka,Can Kaplan,gz,1996,2,Deutschland,Das_Sommerhaus_der_Stars,2023,1,1,ckkaplan_,Beauty
chok,Christin Okpara,gz,1996,1,Deutschland,Die_Sex-Klinik,2020,1,2,christinokpara,
dawe,Daymian Weiss,gz,2004,2,Deutschland,Goodbye_Deutschland,2022,1,6,daymianweiss,eigene_Show
delo,Dennis Lodi,gy,1995,2,Deutschland,Make_Love_Fake_Love,2024,1,6,dennislodi95,eigene_Show
frfu,Frank Fussbroich,gx,1968,2,Deutschland,Die_Fussbroichs,1989,1,6,frank_fussbroich,You_Tube_Live
gifa,Giuliana Farfalla,gz,1996,1,Deutschland,GNTM,2017,1,3,giuliana_farfalla,Model
hasu,Hati Suarez,gz,2000,1,Deutschland,Köln_50667,2020,1,2,hatisuarez,
jehi,Jens Hilbert,gx,1978,2,Deutschland,Catwalk_30+,2014,1,1,jenshilbert,Beauty
jost,Jona Steinig,gy,1995,2,Deutschland,Die_Bachelorette,2021,1,3,jonasteinig,Model
lale,Laura Lettgen,gy,1995,1,Deutschland,Love_Island,2019,1,3,laurablondd,Sex
lino,Linda Nobat,gy,1995,1,Deutschland,Der_Bachelor,2021,1,3,iamlindadt,Model
maan,Martin Angelo,gy,1993,2,Deutschland,Prince_Charming,2019,1,6,martin.angelo,Podcast
mase,Martin Semmelrogge,nk,1955,2,Deutschland,Der_Kommissar,1972,1,1,martin_semmelrogge_official,Semmelland
pise,Pinar Sevim,gy,1988,1,Deutschland,Mimi&Pinar,2008,1,2,pinars.welt,
shfi,Shawne Fielding-Williams,gx,1969,1,USA,Miss_Dallas,1994,1,6,shawnefielding,Schauspiel
stdü,Stephen Dürr,gx,1974,2,Deutschland,Unter_uns,1994,1,1,stephen_duerr,Autor
tata,Tara Tabitha,gy,1993,1,Österreich,Saturday_Night_Fever_-_So_feiert_Österreichs_Jugend,2010,1,2,taratabitha,
BWM,BWM Communications GmbH,,,,,,,2,,,
BR,Bavarian Records,,,,,,,2,,,
RP,Reineke-Partner,,,,,,,2,,,
KM,kick-management,,,,,,,2,,,
RTM,Right Time Media,,,,,,,2,,,
R,Rosenschwestern GmbH,,,,,,,2,,,
K3,Kooperation3,,,,,,,2,,,
AM,Angels Management,,,,,,,2,,,
PPA,Pro Prime Agency,,,,,,,2,,,
H,Heyllo,,,,,,,2,,,
RW,Ramón Wagner,,,,,,,2,,,
S,Schauspieloffensive!,,,,,,,2,,,
SG,SG-Connection,,,,,,,2,,,
S&S,Shine & Stories,,,,,,,2,,,
KdRs,Kampf der Reality Stars,,2025,,,,,3,,,
sigo,Silva Gonzalez,gx,1979,2,Deutschland,Die_Braut_von_der_Tankstelle,2005,1,1,silvagonzalez_official,Musik_Label
