from,to,weight,relation,show,time,love,sendegruppe,kanal
sd,a,1,1,KdRs,,,,
gf,a,1,1,KdRs,,,,
dl,as,2,1,KdRs,,,,
jh,ar,2,1,KdRs,,,,
as,ln,2,1,KdRs,,,,
dw,as,2,1,KdRs,,,,
ar,ln,2,1,KdRs,,,,
ln,ar,2,1,KdRs,,,,
ms,as,2,1,KdRs,,,,
hs,as,2,1,KdRs,,,,
ck,as,1,1,KdRs,,,,
al,as,1,1,KdRs,,,,
co,dw,1,1,KdRs,,,,
p,dw,1,1,KdRs,,,,
gf,ms,2,1,KdRs,,,,
ck,hs,2,1,KdRs,,,,
sd,ar,2,1,KdRs,,,,
jh,ms,2,1,KdRs,,,,
ar,sd,2,1,KdRs,,,,
dl,hs,2,1,KdRs,,,,
hs,ms,2,1,KdRs,,,,
ms,hs,2,1,KdRs,,,,
al,ms,2,1,KdRs,,,,
sfw,hs,1,1,KdRs,,Folge 4,,
ma,hs,1,1,KdRs,,,,
gf,co,2,1,KdRs,,,,
p,al,2,1,KdRs,,,,
ar,ms,2,1,KdRs,,,,
ms,ar,2,1,KdRs,,,,
al,co,2,1,KdRs,,,,
co,al,2,1,KdRs,,,,
ck,co,2,1,KdRs,,,,
jh,ms,2,1,KdRs,,,,
sd,al,2,1,KdRs,,,,
dl,co,2,1,KdRs,,,,
tt,ms,1,1,KdRs,,Folge 5,,
js,ms,1,1,KdRs,,,,
ck,sd,2,1,KdRs,,Folge 6,,
dl,sd,2,1,KdRs,,,,
gf,ck,2,1,KdRs,,,,
jh,ck,2,1,KdRs,,,,
js,sd,2,1,KdRs,,,,
ma,ck,2,1,KdRs,,,,
p,dl,2,1,KdRs,,,,
sd,dl,2,1,KdRs,,,,
tt,ck,2,1,KdRs,,,,
ar,ck,2,1,KdRs,,Folge 7,,
bk,ar,2,1,KdRs,,,,
ck,ar,2,1,KdRs,,,,
dl,ar,2,1,KdRs,,,,
ff,ck,2,1,KdRs,,,,
gf,ck,2,1,KdRs,,,,
jh,ar,2,1,KdRs,,,,
js,ar,2,1,KdRs,,,,
ll,ar,2,1,KdRs,,,,
ma,ar,2,1,KdRs,,,,
p,ck,2,1,KdRs,,,,
sd,ck,2,1,KdRs,,,,
tt,ck,2,1,KdRs,,,,
bk,sd,2,1,KdRs,,Folge 8,,
dl,sd,2,1,KdRs,,,,
ff,bk,2,1,KdRs,,,,
gf,sd,2,1,KdRs,,,,
jh,sd,2,1,KdRs,,,,
js,sd,2,1,KdRs,,,,
ll,sd,2,1,KdRs,,,,
ma,bk,2,1,KdRs,,,,
p,bk,2,1,KdRs,,,,
sd,bk,2,1,KdRs,,,,
tt,sd,2,1,KdRs,,,,
a,gf,2,1,KdRs,,Folge 9,,
as,gf,2,1,KdRs,,,,
ar,jh,2,1,KdRs,,,,
bk,ma,2,1,KdRs,,,,
ck,jh,2,1,KdRs,,,,
dw,p,2,1,KdRs,,,,
dl,p,2,1,KdRs,,,,
ff,js,2,1,KdRs,,,,
gf,bk,2,1,KdRs,,,,
jh,p,2,1,KdRs,,,,
js,jh,2,1,KdRs,,,,
ll,bk,2,1,KdRs,,,,
ln,jh,2,1,KdRs,,,,
ma,bk,2,1,KdRs,,,,
ms,jh,2,1,KdRs,,,,
p,jh,2,1,KdRs,,,,
sfw,jh,2,1,KdRs,,,,
sd,jh,2,1,KdRs,,,,
tt,bk,2,1,KdRs,,,,
BWM,ak,,2,KdRs,,Managements,,
BR,al,,2,KdRs,,,,
RP,ar,,2,KdRs,,,,
km,bk,,2,KdRs,,,,
RTM,co,,2,KdRs,,,,
SG,dw,,2,KdRs,,,,
R,dl,,2,KdRs,,,,
K3,ff,,2,KdRs,,,,
AM,hs,,2,KdRs,,,,
PPA,js,,2,KdRs,,,,
H,ln,,2,KdRs,,,,
RW,ma,,2,KdRs,,,,
S,ms,,2,KdRs,,,,
H,tt,,2,KdRs,,,,
