id,name,age_real,age,first_show,gender,origin
ak,Arabella Kiesbauer,,,,,
a,Ailton,51,5,,,
al,Anita Latifi,29,2,,,
as,Annina Semmelhaack,46,4,,,
ar,Anouschka Renzi,60,5,,,
bk,Bela Klentze,36,3,,,
ck,Can Kaplan,29,2,,,
co,Christin Okpara,28,2,,,
dw,Daymian Weiss,19,1,,,
dl,Dennis Lodi,28,2,,,
ff,Frank Fussbroich,56,5,,,
gf,Giuliana Farfalla,28,2,,,
hs,Hati Suarez,24,2,,,
jh,Jens Hilbert,47,4,,,
js,Jona Steinig,29,2,,,
ll,Laura Lettgen,28,2,,,
ln,Linda Nobat,30,2,,,
ma,Martin Angelo,29,2,,,
ms,Martin Semmelrogge,69,6,,,
p,Pinar,,,,,
sfw,Shawne Fielding-Williams,55,5,,,
sd,Stephen Dürr,50,4,,,
tt,Tara Tabitha,32,3,,,
BWM,BWM Communications GmbH,,,,,
BR,Bavarian Records,,,,,
RP,Reineke-Partner,,,,,
km,kick-management,,,,,
RTM,Right Time Media,,,,,
R,Rosenschwestern GmbH,,,,,
K3,Kooperation3,,,,,
AM,Angels Management,,,,,
PPA,Pro Prime Agency,,,,,
H,Heyllo,,,,,
RW,Ramón Wagner,,,,,
S,Schauspieloffensive!,,,,,
SG,SG-Connection,,,,,
